NDW:0.0
TTFW:1.8
DFPT:2.0
DFPAP:3.0
DFPMP:50.0
SEARCH_STEPS:3.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
notchParam-1,true,1.00,11,385,9,1,483,275
notchParam-2,true,1.00,5,317,3,1,131,7
notchParam-3,true,1.00,6,351,4,1,143,8
notchParam-4,true,1.00,6,346,4,1,153,9
notchParam-5,true,1.00,6,318,4,1,125,8
notchParam-6,true,1.00,5,312,3,1,126,6
notchParam-7,true,1.00,6,335,4,1,160,18
notchParam-8,true,1.00,7,364,4,1,196,27
notchParam-9,true,1.00,6,353,4,1,153,8
notchParam-10,true,1.00,6,342,4,1,149,10
notchParam-11,true,1.00,5,306,3,1,120,3
notchParam-12,true,1.00,6,321,4,1,151,17
notchParam-13,true,1.00,5,322,3,1,122,7
notchParam-14,true,1.00,4,300,3,1,111,5
notchParam-15,true,1.00,6,330,4,1,210,70
notchParam-16,true,1.00,20,372,18,1,912,380
notchParam-17,true,1.00,7,332,5,1,226,72
notchParam-18,true,1.00,10,370,8,1,296,154
notchParam-19,true,1.00,6,334,3,1,126,7
notchParam-20,true,1.00,5,312,3,1,115,5
notchParam-21,true,1.00,8,363,5,1,188,33
notchParam-22,true,1.00,5,328,3,1,129,7
notchParam-23,true,1.00,7,397,4,1,186,7
notchParam-24,true,1.00,7,361,5,1,202,30
notchParam-25,true,1.00,6,360,3,1,168,8
notchParam-26,true,1.00,6,351,4,1,154,7
notchParam-27,true,1.00,5,312,3,1,117,7
notchParam-28,true,1.00,5,359,3,1,146,9
notchParam-29,true,1.00,6,347,3,1,143,8
notchParam-30,true,1.00,5,318,3,1,122,5
notchParam-31,true,1.00,6,321,4,1,186,50
notchParam-32,true,1.00,6,322,4,1,156,16
notchParam-33,true,1.00,5,318,3,1,121,7
notchParam-34,true,1.00,11,367,9,1,439,261
notchParam-35,true,1.00,14,375,12,1,652,430
notchParam-36,true,1.00,5,306,3,1,154,16
notchParam-37,true,1.00,5,318,3,1,119,3
notchParam-38,true,1.00,4,294,2,1,110,3
notchParam-39,true,1.00,5,300,3,1,134,16
notchParam-40,true,1.00,6,330,4,1,143,11
notchParam-41,true,1.00,5,345,3,1,151,11
notchParam-42,true,1.00,5,312,3,1,115,7
notchParam-43,true,1.00,6,310,4,1,149,7
notchParam-44,true,1.00,6,351,5,1,172,14
notchParam-45,true,1.00,5,318,3,1,184,25
notchParam-46,true,1.00,5,324,3,1,166,27
notchParam-47,true,1.00,5,312,3,1,117,12
notchParam-48,true,1.00,6,373,4,1,144,5
notchParam-49,true,1.00,6,336,3,1,129,7
notchParam-50,true,1.00,6,309,4,1,114,7
notchParam-51,true,1.00,6,322,3,1,124,7
notchParam-52,true,1.00,8,336,5,1,225,70
notchParam-53,true,1.00,40,342,38,2,2082,277
notchParam-54,true,1.00,7,342,5,1,219,72
notchParam-55,true,1.00,5,331,3,1,127,5
notchParam-56,true,1.00,5,305,4,1,119,5
notchParam-57,true,1.00,6,348,4,1,167,12
notchParam-58,true,1.00,6,341,4,1,142,5
notchParam-59,true,1.00,6,368,4,1,168,12
notchParam-60,true,1.00,6,354,3,1,145,7
notchParam-61,true,1.00,6,380,4,1,188,24
notchParam-62,true,1.00,5,300,3,1,116,7
notchParam-63,true,1.00,6,342,5,1,142,7
notchParam-64,true,1.00,6,321,4,1,131,8
notchParam-65,true,1.00,6,331,4,1,148,8
notchParam-66,true,1.00,6,355,4,1,152,7
notchParam-67,true,1.00,8,361,6,1,292,71
notchParam-68,true,1.00,10,361,8,1,432,261
notchParam-69,true,1.00,6,327,3,1,139,7
notchParam-70,true,1.00,7,333,5,1,213,71
notchParam-71,true,1.00,6,358,4,1,150,7
notchParam-72,true,1.00,6,328,4,1,143,7
notchParam-73,true,1.00,7,328,4,1,179,32
notchParam-74,true,1.00,6,341,4,1,149,8
notchParam-75,true,1.00,5,350,3,1,146,8
notchParam-76,true,1.00,6,360,4,1,170,25
notchParam-77,true,1.00,5,316,3,1,135,9
notchParam-78,true,1.00,7,377,5,1,183,20
notchParam-79,true,1.00,6,341,4,1,142,13
notchParam-80,true,1.00,11,373,9,1,299,154
notchParam-81,true,1.00,5,342,3,1,147,8
notchParam-82,true,1.00,5,317,3,1,121,7
notchParam-83,true,1.00,5,300,3,1,113,5
notchParam-84,true,1.00,10,361,8,1,423,273
notchParam-85,true,1.00,30,380,28,1,1412,1123
notchParam-86,true,1.00,5,318,3,1,154,23
notchParam-87,true,1.00,5,294,3,1,111,5
notchParam-88,true,1.00,5,303,3,1,110,4
notchParam-89,true,1.00,5,300,3,1,115,5
notchParam-90,true,1.00,5,307,3,1,116,4
notchParam-91,true,1.00,5,312,3,1,135,7
notchParam-92,true,1.00,6,331,4,1,168,24
notchParam-93,true,1.00,6,326,4,1,156,7
notchParam-94,true,1.00,5,343,3,1,146,6
notchParam-95,true,1.00,7,401,4,1,193,15
notchParam-96,true,1.00,6,355,4,1,169,22
notchParam-97,true,1.00,5,314,3,1,129,7
notchParam-98,true,1.00,5,320,3,1,124,7
notchParam-99,true,1.00,7,342,4,1,221,71
notchParam-100,true,1.00,16,342,14,1,782,240
